,genre,rate,name,url
0,Action, 92,doom,https://store.steampowered.com/app/379720/DOOM/
1,"Action,Adventure,Massively Multiplayer", 49,playerunknownsbattlegrounds,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/
2,"Action,Adventure,Strategy", 71,battletech,https://store.steampowered.com/app/637090/BATTLETECH/
3,"Action,Adventure,Massively Multiplayer", 61,dayz,https://store.steampowered.com/app/221100/DayZ/
4,"Action,Free to Play,Massively Multiplayer,RPG,Strategy", 74,eveonline,https://store.steampowered.com/app/8500/EVE_Online/
5,"Action,Adventure",0,grandtheftautovpremiumonlineedition,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Online_Edition/
6,Action, 92,devilmaycry5,https://store.steampowered.com/app/601150/Devil_May_Cry_5/
7,"Adventure,Indie", 91,humanfallflat,https://store.steampowered.com/app/477160/Human_Fall_Flat/
8,"Strategy,Early Access", 85,theyarebillions,https://store.steampowered.com/app/644930/They_Are_Billions/
9,"Action,Adventure,RPG", 44,warhammerchaosbane,https://store.steampowered.com/app/774241/Warhammer_Chaosbane/
10,"Adventure,Indie,RPG,Strategy", 83,fortheking,https://store.steampowered.com/app/527230/For_The_King/
11,Adventure, 84,danganronpav3killingharmony,https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony/
12,"Action,Adventure,Free to Play,Massively Multiplayer,RPG", 78,tera,https://store.steampowered.com/app/323370/TERA/
13,Action, 51,callofdutymodernwarfareremastered,https://store.steampowered.com/app/393080/Call_of_Duty_Modern_Warfare_Remastered/
14,"Indie,Simulation,Strategy", 75,stonehearth,https://store.steampowered.com/app/253250/Stonehearth/
15,"Simulation,Strategy",0,heartsofironivmobilizationpack,https://store.steampowered.com/bundle/5641/Hearts_of_Iron_IV_Mobilization_Pack/
16,"Action,Indie,Early Access", 94,clonedroneinthedangerzone,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/
17,Action, 77,godeater3,https://store.steampowered.com/app/899440/GOD_EATER_3/
18,"Action,Free to Play", 44,warrobots,https://store.steampowered.com/app/767560/War_Robots/
19,Strategy, 88,halowarsdefinitiveedition,https://store.steampowered.com/app/459220/Halo_Wars_Definitive_Edition/
20,Action, 84,callofdutyblackops,https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/
21,Adventure, 97,phoenixwrightaceattorneytrilogy逆転裁判123成歩堂セレクション,https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy__123/
22,Racing, 70,teamsonicracing,https://store.steampowered.com/app/785260/Team_Sonic_Racing/
23,"Action,RPG", 90,titanquestanniversaryedition,https://store.steampowered.com/app/475150/Titan_Quest_Anniversary_Edition/
24,"Action,Adventure", 63,grandtheftautoiv,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV/
25,"Action,Adventure",0,portalbundle,https://store.steampowered.com/bundle/234/Portal_Bundle/
26,Action, 97,portal,https://store.steampowered.com/app/400/Portal/
27,"Indie,Simulation", 92,visceracleanupdetail,https://store.steampowered.com/app/246900/Viscera_Cleanup_Detail/
28,RPG, 74,neverwinternightsenhancededition,https://store.steampowered.com/app/704450/Neverwinter_Nights_Enhanced_Edition/
29,"Adventure,RPG", 81,ninokuniiirevenantkingdom,https://store.steampowered.com/app/589360/Ni_no_Kuni_II_Revenant_Kingdom/
30,"Free to Play,Massively Multiplayer,RPG", 60,treeofsaviorenglishver,https://store.steampowered.com/app/372000/Tree_of_Savior_English_Ver/
31,"Action,Adventure,Indie", 91,hellbladesenuassacrifice,https://store.steampowered.com/app/414340/Hellblade_Senuas_Sacrifice/
32,Adventure, 96,danganronpa2goodbyedespair,https://store.steampowered.com/app/413420/Danganronpa_2_Goodbye_Despair/
33,"Action,Adventure,RPG", 87,yakuza0,https://store.steampowered.com/app/638970/Yakuza_0/
34,"Indie,Simulation,Strategy", 81,theescapists2,https://store.steampowered.com/app/641990/The_Escapists_2/
35,Action, 91,starwarsbattlefront2classic2005,https://store.steampowered.com/app/6060/Star_Wars_Battlefront_2_Classic_2005/
36,"Free to Play,Massively Multiplayer,RPG", 68,wizard101,https://store.steampowered.com/app/799960/Wizard101/
37,Adventure, 86,lifeisstrange2,https://store.steampowered.com/app/532210/Life_is_Strange_2/
38,"Action,RPG", 87,kingdomsofamalurreckoning,https://store.steampowered.com/app/102500/Kingdoms_of_Amalur_Reckoning/
39,Action,0,doomclassiccomplete,https://store.steampowered.com/sub/18397/
40,Strategy, Need more user reviews to generate a score,warhammer40000dawnofwariiretribution,https://store.steampowered.com/app/56437/Warhammer_40000_Dawn_of_War_II_Retribution/
41,"Adventure,RPG,Simulation", 100,godwarsthecompletelegend,https://store.steampowered.com/app/1038810/GOD_WARS_The_Complete_Legend/
42,Action, 95,counterstrikesource,https://store.steampowered.com/app/240/CounterStrike_Source/
43,Action, 80,theevilwithin,https://store.steampowered.com/app/268050/The_Evil_Within/
44,"Action,Adventure,Indie",0,thebindingofisaacrebirthcompletebundle,https://store.steampowered.com/bundle/2405/The_Binding_of_Isaac_Rebirth_Complete_Bundle/
45,"Action,Adventure,Indie,Early Access", 93,brightmemoryearlyaccess光明记忆,https://store.steampowered.com/app/955050/Bright_MemoryEarly_Access/
46,Strategy, 94,starwarsempireatwargoldpack,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/
47,Action, 82,dishonoreddeathoftheoutsider,https://store.steampowered.com/app/614570/Dishonored_Death_of_the_Outsider/
48,Action, 52,streetfighterv,https://store.steampowered.com/app/310950/Street_Fighter_V/
49,"Casual,Indie,Strategy", 94,thejackboxpartypack2,https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/
50,"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access", 80,armoredbattlecrewworldwar1tankwarfareandcrewmanagementsimulator,https://store.steampowered.com/app/814740/Armored_Battle_Crew_World_War_1__Tank_Warfare_and_Crew_Management_Simulator/
51,Strategy, 72,battlefleetgothicarmada2,https://store.steampowered.com/app/573100/Battlefleet_Gothic_Armada_2/
52,"Action,Indie", 87,runningwithrifles,https://store.steampowered.com/app/270150/RUNNING_WITH_RIFLES/
53,"Action,RPG", 85,thewitcherenhancededitiondirectorscut,https://store.steampowered.com/app/20900/The_Witcher_Enhanced_Edition_Directors_Cut/
54,"Action,Adventure,RPG", 77,middleearthshadowofwar,https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/
55,"Action,Strategy", 79,forts,https://store.steampowered.com/app/410900/Forts/
56,"Free to Play,Massively Multiplayer,RPG", 80,thelordoftheringsonline,https://store.steampowered.com/app/212500/The_Lord_of_the_Rings_Online/
57,"Simulation,Strategy",0,stellarisascensionpack,https://store.steampowered.com/bundle/6186/Stellaris_Ascension_Pack/
58,"Action,Adventure,Indie,Early Access", 98,dungeonmunchies,https://store.steampowered.com/app/799640/Dungeon_Munchies/
59,"Action,Adventure",0,grandtheftautoivcompleteedition,https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/
60,RPG, 84,pillarsofeternity,https://store.steampowered.com/app/291650/Pillars_of_Eternity/
61,"Adventure,Indie,RPG,Simulation", 75,graveyardkeeper,https://store.steampowered.com/app/599140/Graveyard_Keeper/
62,Free to Play, 71,theelderscrollslegends,https://store.steampowered.com/app/364470/The_Elder_Scrolls_Legends/
63,Action,0,residentevil2biohazardre2deluxeedition,https://store.steampowered.com/sub/281610/
64,"Indie,Simulation,Strategy", 83,northgard,https://store.steampowered.com/app/466560/Northgard/
65,"Action,Free to Play,Early Access", 64,realmroyale,https://store.steampowered.com/app/813820/Realm_Royale/
66,Strategy,0,sidmeierscivilizationvigoldedition,https://store.steampowered.com/bundle/9193/Sid_Meiers_Civilization_VI_Gold_Edition/
67,"Action,Adventure,Casual,Indie", 69,gangbeasts,https://store.steampowered.com/app/285900/Gang_Beasts/
68,"Simulation,Strategy",0,ageofempireslegacybundle,https://store.steampowered.com/bundle/2185/Age_of_Empires_Legacy_Bundle/
69,Strategy, 93,totalwarmedievaliidefinitiveedition,https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition/
70,RPG, 86,talesofvesperiadefinitiveedition,https://store.steampowered.com/app/738540/Tales_of_Vesperia_Definitive_Edition/
71,RPG, 89,finalfantasyxx2hdremaster,https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/
72,"Adventure,Indie", 96,returnoftheobradinn,https://store.steampowered.com/app/653530/Return_of_the_Obra_Dinn/
73,"Action,Adventure,Casual,Indie,RPG", 96,castlecrashers,https://store.steampowered.com/app/204360/Castle_Crashers/
74,RPG,0,finalfantasyxvepisodeardyncompleteedition,https://store.steampowered.com/bundle/10539/FINAL_FANTASY_XV_EPISODE_ARDYN_COMPLETE_EDITION/
75,Action, 54,callofdutywwii,https://store.steampowered.com/app/476600/Call_of_Duty_WWII/
76,Simulation, 82,mudrunner,https://store.steampowered.com/app/675010/MudRunner/
